Session,Room 1,Room 2,Room 3,Room 4 (unstructured)
1: Day 2 am,Using version control to track changes,Automating workflows with GNU Make,Cleaning data with OpenRefine,Adv session TBD
2: Day 2 pm pt1,Making functions in R,Reproducible computational environments using containers,Research data management,Creating and running scripts on the commandline
3: Day 2 pm pt2,Introduction to reproducible analysis documents with Rmarkdown,Reproducible computational environments using containers - continued,Tidy data principles,Breakout session
